T_wall_C,p_T2_Pa,mdot_he_kg_s,J_T2_mol_m2_s,J_sieverts_mol_m2_s,p_surf_over_p_bulk,K_eff_mol_m2_s_Pa,Re_tube,Lambda
3.400000000000000000e+02,1.000000000000000000e+01,1.000000000000000000e+00,1.742297943668631057e-10,1.742298637658684417e-10,9.999992033628446464e-01,2.187065884315230878e-05,3.350414830612304286e+03,3.557747825402709635e-07
3.400000000000000000e+02,1.000000000000000000e+01,2.000000000000000000e+00,1.742298418336073997e-10,1.742298637658684417e-10,9.999997482376535851e-01,6.920409039521724143e-05,6.700829661224608572e+03,3.557747825402709635e-07
3.400000000000000000e+02,3.000000000000000000e+01,1.000000000000000056e-01,3.017748775916519188e-10,3.017749762382878952e-10,9.999993462239906705e-01,1.538625224465757323e-05,3.350414830612305082e+02,2.054066664705060105e-07
3.400000000000000000e+02,3.000000000000000000e+01,5.000000000000000000e-01,3.017748775916519188e-10,3.017749762382878952e-10,9.999993462239906705e-01,1.538625224465757323e-05,1.675207415306152143e+03,2.054066664705060105e-07
3.400000000000000000e+02,3.000000000000000000e+01,1.000000000000000000e+00,3.017749068392767431e-10,3.017749762382878952e-10,9.999995400612465835e-01,2.187065884315230878e-05,3.350414830612304286e+03,2.054066664705060105e-07
3.400000000000000000e+02,3.000000000000000000e+01,2.000000000000000000e+00,3.017749543060262587e-10,3.017749762382878952e-10,9.999998546449336834e-01,6.920409039521724143e-05,6.700829661224608572e+03,2.054066664705060105e-07
3.400000000000000000e+02,1.000000000000000000e+02,1.000000000000000056e-01,5.509631072743427155e-10,5.509632059209859298e-10,9.999996419120792401e-01,1.538625224465757323e-05,3.350414830612305082e+02,1.125058646878361998e-07
3.400000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e-01,5.509631072743427155e-10,5.509632059209859298e-10,9.999996419120792401e-01,1.538625224465757323e-05,1.675207415306152143e+03,1.125058646878361998e-07
3.400000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+00,5.509631365219712105e-10,5.509632059209859298e-10,9.999997480811435580e-01,2.187065884315230878e-05,3.350414830612304286e+03,1.125058646878361998e-07
3.400000000000000000e+02,1.000000000000000000e+02,2.000000000000000000e+00,5.509631839887239830e-10,5.509632059209859298e-10,9.999999203857490304e-01,6.920409039521724143e-05,6.700829661224608572e+03,1.125058646878361998e-07
3.600000000000000000e+02,1.000000000000000000e+00,1.000000000000000056e-01,9.569712689593837074e-11,9.569741751321109720e-11,9.999939263391008915e-01,1.575608656638806008e-05,3.279131731094550446e+02,1.725255663534532234e-06
3.600000000000000000e+02,1.000000000000000000e+00,5.000000000000000000e-01,9.569712689593837074e-11,9.569741751321109720e-11,9.999939263391008915e-01,1.575608656638806008e-05,1.639565865547274598e+03,1.725255663534532234e-06
3.600000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,9.569720746779630465e-11,9.569741751321109720e-11,9.999956102225172616e-01,2.180001329046787241e-05,3.279131731094549195e+03,1.725255663534532234e-06
3.600000000000000000e+02,1.000000000000000000e+00,2.000000000000000000e+00,9.569735015398398622e-11,9.569741751321109720e-11,9.999985922461619436e-01,6.797875279435928433e-05,6.558263462189098391e+03,1.725255663534532234e-06
3.600000000000000000e+02,3.000000000000000000e+00,1.000000000000000056e-01,1.657524986685540772e-10,1.657527892860132812e-10,9.999964933657442545e-01,1.575608656638806008e-05,3.279131731094550446e+02,9.960768217625888103e-07
3.600000000000000000e+02,3.000000000000000000e+00,5.000000000000000000e-01,1.657524986685540772e-10,1.657527892860132812e-10,9.999964933657442545e-01,1.575608656638806008e-05,1.639565865547274598e+03,9.960768217625888103e-07
